RCode,Orig,Dest,DepFix,Route String,DCNTR,ACNTR,TCNTRs,CoordReq,Play,NavEqp
JFKLAXNE,KJFK,KLAX,NEION,KJFK NEION Q232 DARBO J49 PSB J60 DJB CPONE JOT J60 HVE PROMT Q88 HAKMN ANJLL4 KLAX,ZNY,ZLA,ZAU ZDV ZLA ZLC ZMP ZNY ZOB,Y,,1
JFKLAXNL,KJFK,KLAX,GAYEL,KJFK GAYEL Q818 WOZEE Q935 HOCKE GRB GEP ONL J148 CYS EKR HVE PROMT Q88 HAKMN ANJLL4 KLAX,ZNY,ZLA,CZY ZDV ZLA ZLC ZMP ZNY ZOB,Y,,1
JFKLAXP1,KJFK,KLAX,RBV,KJFK RBV Q430 SAAME J6 HVQ Q68 RAMRD ARG FSM IRW PNH J6 DRK J231 HIPPI GABBL HLYWD1 KLAX,ZNY,ZLA,ZAB ZDC ZFW ZID ZLA ZME ZNY,N,,1
JFKLAXP2,KJFK,KLAX,RBV,KJFK RBV Q430 BYRDD J48 CSN FANPO Q40 ALEAN Q66 LITTR KOMMA IRW J6 DRK J231 HIPPI GABBL HLYWD1 KLAX,ZNY,ZLA,ZAB ZDC ZFW ZLA ZME ZNY ZTL,N,,1
JFKLAXPH,KJFK,KLAX,RBV,KJFK RBV Q430 AIR J80 MCI J24 SLN J102 ALS J44 RSK J64 TBC JASSE Q90 DNERO ANJLL4 KLAX,ZNY,ZLA,ZDV ZID ZKC ZLA ZNY ZOB,N,,1
JFKLAXST,KJFK,KLAX,RBV,KJFK RBV Q430 AIR J110 STL BUM ICT TOTOE CIM J134 DRK J231 HIPPI GABBL HLYWD1 KLAX,ZNY,ZLA,ZAB ZID ZKC ZLA ZNY ZOB,N,,1
JFKLAXYS,KJFK,KLAX,GREKI,KJFK GREKI JUDDS CAM NOVON BURWA OVORA GABOV HML OGSIQ STORZ DNW FFU J9 MLF WINEN Q73 HAKMN ANJLL4 KLAX,ZNY,ZLA,CZW CZY ZBW ZLA ZLC ZMP ZNY,Y,,2
JFKLGB36,KJFK,KLGB,COATE,KJFK COATE Q436 RAAKK Q438 RUBYY SMUUV OBK IOW J60 HVE BAWER Q114 NATEE DSNEE6 KLGB,ZNY,ZLA,ZAU ZDV ZLA ZLC ZMP ZNY ZOB,Y,,1
JFKLGB47,KJFK,KLGB,GREKI,KJFK GREKI JUDDS CAM Q822 FNT OBK IOW J60 HVE BAWER Q114 NATEE DSNEE6 KLGB,ZNY,ZLA,CZY ZAU ZBW ZDV ZLA ZLC ZMP ZNY ZOB,Y,,1
JFKLGB60,KJFK,KLGB,CANDR,KJFK DEEZZ6 CANDR J60 DJB CPONE JOT J60 HVE BAWER Q114 NATEE DSNEE6 KLGB,ZNY,ZLA,ZAU ZBW ZDV ZLA ZLC ZMP ZNY ZOB,Y,,1
JFKLGB64,KJFK,KLGB,CANDR,KJFK DEEZZ6 CANDR J60 DANNR RAV J64 FWA WHETT DARCY EDENS LMN PWE HLC J64 RSK TOADD Q78 MARUE DSNEE6 KLGB,ZNY,ZLA,ZAU ZBW ZDV ZLA ZMP ZNY ZOB,Y,,1
JFKLGB6T,KJFK,KLGB,RBV,KJFK RBV Q430 SAAME J6 HVQ Q68 RAMRD ARG TUL MMB FTI J8 GUP J96 DRK HIMDU DSNEE6 KLGB,ZNY,ZLA,ZAB ZDC ZID ZKC ZLA ZME ZNY,Y,,1
JFKLGB80,KJFK,KLGB,RBV,KJFK RBV Q430 AIR J80 MCI J24 SLN J102 ALS J44 RSK TOADD Q78 MARUE DSNEE6 KLGB,ZNY,ZLA,ZDV ZID ZKC ZLA ZNY ZOB,Y,,1
JFKLGB95,KJFK,KLGB,GAYEL,KJFK GAYEL Q818 WOZEE Q935 HOCKE BAE J16 MCW J148 CYS EKR HVE BAWER Q114 NATEE DSNEE6 KLGB,ZNY,ZLA,CZY ZAU ZDV ZLA ZLC ZMP ZNY ZOB,Y,,1
JFKLGBCW,KJFK,KLGB,COATE,KJFK COATE Q436 RAAKK Q438 RUBYY DABJU J36 BAE MCW ONL J114 DVV ZAKRY Q114 NATEE DSNEE6 KLGB,ZNY,ZLA,ZAU ZDV ZLA ZLC ZMP ZNY ZOB,N,,1
JFKLGBJ6,KJFK,KLGB,RBV,KJFK RBV Q430 SAAME J6 COLNS Q176 BUM ICT TOTOE FTI J8 GUP INW DRK HIMDU DSNEE6 KLGB,ZNY,ZLA,ZAB ZDC ZID ZKC ZLA ZNY,Y,,1
JFKLGBLM,KJFK,KLGB,WAVEY,KJFK WAVEY EMJAY Q167 ZJAAY Q97 SAWED GUILD Q409 MRPIT CEELY Q172 YUTEE IRQ THRSR VLKNN Q30 IZAAC SUTTN J52 TXK SPS J72 ABQ J6 EED DSNEE6 KLGB,ZNY,ZLA,ZAB ZBW ZDC ZFW ZJX ZLA ZME ZNY ZTL,Y,,1
JFKLGBST,KJFK,KLGB,RBV,KJFK RBV Q430 AIR J110 STL BUM ICT TOTOE CIM J134 DRK HIMDU DSNEE6 KLGB,ZNY,ZLA,ZAB ZID ZKC ZLA ZNY ZOB,N,,1
JFKLWBPH,KJFK,KLWB,RBV,KJFK RBV Q430 BYRDD J48 MOL V140 COVEY KLWB,ZNY,ZDC,ZDC ZNY,N,,1
JFKMCI36,KJFK,KMCI,COATE,KJFK COATE Q436 HERBA JHW DJB CPONE JOT EDENS BULET RUDDH3 KMCI,ZNY,ZKC,ZAU ZKC ZNY ZOB,Y,,1
JFKMCI60,KJFK,KMCI,CANDR,KJFK DEEZZ6 CANDR J60 DJB CPONE JOT BULET RUDDH3 KMCI,ZNY,ZKC,ZAU ZBW ZKC ZNY ZOB,N,,1
JFKMCI64,KJFK,KMCI,CANDR,KJFK DEEZZ6 CANDR J60 DANNR RAV J64 FWA WHETT EDENS BULET RUDDH3 KMCI,ZNY,ZKC,ZAU ZBW ZKC ZNY ZOB,N,,1
JFKMCICA,KJFK,KMCI,GREKI,KJFK GREKI JUDDS CAM Q84 JHW Q29 CREEP J80 SPI EUING RUDDH3 KMCI,ZNY,ZKC,ZBW ZID ZKC ZNY ZOB,Y,,1
JFKMCIFN,KJFK,KMCI,COATE,KJFK COATE Q436 RAAKK Q438 RUBYY SMUUV JOT J87 MZV BULET RUDDH3 KMCI,ZNY,ZKC,ZAU ZKC ZNY ZOB,Y,,1
JFKMCIJ6,KJFK,KMCI,RBV,KJFK RBV Q430 SAAME J6 COLNS Q176 STL EUING RUDDH3 KMCI,ZNY,ZKC,ZDC ZID ZKC ZNY,N,,1
JFKMCIPH,KJFK,KMCI,RBV,KJFK RBV Q430 AIR J80 SPI EUING RUDDH3 KMCI,ZNY,ZKC,ZID ZKC ZNY ZOB,N,,1
JFKMCO48,KJFK,KMCO,RBV,KJFK RBV Q430 BYRDD J48 MOL FLASK GOWBE BURGG WHYYT GRNCH5 KMCO,ZNY,ZJX,ZDC ZJX ZMA ZNY ZTL,Y,,1
JFKMCO4A,KJFK,KMCO,RBV,KJFK RBV Q430 BYRDD J48 CSN FANPO Q40 ALEAN VXV THRSR ZJAYX GRNCH5 KMCO,ZNY,ZJX,ZDC ZJX ZMA ZNY ZTL,N,,1
JFKMCO4C,KJFK,KMCO,RBV,KJFK RBV Q430 BYRDD J48 MOL FLASK GOWBE BURGG QUIWE Q93 GIPPL Q85 LPERD SNFLD3 KMCO,ZNY,ZJX,ZDC ZJX ZMA ZNY ZTL,Y,NE TO FLORIDA VIA J48 1,2
JFKMCO60,KJFK,KMCO,CANDR,KJFK DEEZZ6 CANDR J60 DJB Q147 BURGG WHYYT GRNCH5 KMCO,ZNY,ZJX,ZBW ZID ZJX ZMA ZNY ZOB ZTL,Y,,3
JFKMCO64,KJFK,KMCO,CANDR,KJFK DEEZZ6 CANDR DANNR RAV J64 BURNI TYROO QUARM AIR HVQ SPAYD VXV THRSR ZJAYX GRNCH5 KMCO,ZNY,ZJX,ZBW ZID ZJX ZMA ZNY ZOB ZTL,Y,,1
JFKMCO6A,KJFK,KMCO,RBV,KJFK RBV Q430 SAAME J6 HVQ SPAYD VXV THRSR ZJAYX GRNCH5 KMCO,ZNY,ZJX,ZDC ZID ZJX ZMA ZNY ZTL,N,,1
JFKMCO72,KJFK,KMCO,RBV,KJFK RBV Q430 COPES Q75 TEEEM TEUFL WHYYT GRNCH5 KMCO,ZNY,ZJX,ZDC ZJX ZMA ZNY ZTL,Y,NE TO FLORIDA VIA Q75 2,3
JFKMCO80,KJFK,KMCO,RBV,KJFK RBV Q430 AIR HVQ Q147 BURGG WHYYT GRNCH5 KMCO,ZNY,ZJX,ZID ZJX ZMA ZNY ZOB ZTL,Y,,1
JFKMCO83,KJFK,KMCO,RBV,KJFK RBV Q430 AIR HVQ Q147 BURGG QUIWE Q93 GIPPL Q85 LPERD SNFLD3 KMCO,ZNY,ZJX,ZID ZJX ZMA ZNY ZOB ZTL,Y,,2
JFKMCO85,KJFK,KMCO,CANDR,KJFK DEEZZ6 CANDR DANNR RAV J64 BURNI TYROO QUARM AIR HVQ Q147 BURGG WHYYT GRNCH5 KMCO,ZNY,ZJX,ZBW ZID ZJX ZMA ZNY ZOB ZTL,Y,,2
JFKMCO8T,KJFK,KMCO,RBV,KJFK RBV Q430 AIR HVQ SPAYD VXV THRSR ZJAYX GRNCH5 KMCO,ZNY,ZJX,ZID ZJX ZMA ZNY ZOB ZTL,Y,,1
JFKMCO97,KJFK,KMCO,WAVEY,KJFK WAVEY EMJAY Q167 ZJAAY Q97 ELMSZ IGARY Q85 LPERD SNFLD3 KMCO,ZNY,ZJX,ZBW ZDC ZJX ZMA ZNY,Y,NE TO FLORIDA VIA Q97 2,2
JFKMCOAR,KJFK,KMCO,WAVEY,KJFK WAVEY EMJAY Q167 KALDA Q131 WAALT Y289 BAHAA HIBAC ALYNA4 KMCO,ZNY,ZJX,ZBW ZDC ZJX ZMA ZNY,N,,1
JFKMCOAZ,KJFK,KMCO,SHIPP,KJFK SHIPP Y488 STERN Y493 BAHAA HIBAC ALYNA4 KMCO,ZNY,ZJX,ZBW ZDC ZJX ZMA ZNY ZWY,N,,2
JFKMCOJ1,KJFK,KMCO,WAVEY,KJFK WAVEY EMJAY Q167 ZJAAY Q97 SAWED GUILD Q409 PUPYY WHYYT GRNCH5 KMCO,ZNY,ZJX,ZBW ZDC ZJX ZMA ZNY,Y,,1
JFKMCOJ6,KJFK,KMCO,RBV,KJFK RBV Q430 SAAME J6 HVQ Q147 BURGG WHYYT GRNCH5 KMCO,ZNY,ZJX,ZDC ZID ZJX ZMA ZNY ZTL,Y,,1
JFKMCOPH,KJFK,KMCO,WAVEY,KJFK WAVEY EMJAY Q167 ZJAAY Q97 SAWED MOXXY Q85 LPERD SNFLD3 KMCO,ZNY,ZJX,ZBW ZDC ZJX ZMA ZNY,N,,1
JFKMCOSA,KJFK,KMCO,RBV,KJFK RBV Q430 COPES Q75 GSO Q83 ROYCO Q85 LPERD SNFLD3 KMCO,ZNY,ZJX,ZDC ZJX ZMA ZNY ZTL,N,,1
JFKMCOSP,KJFK,KMCO,CANDR,KJFK DEEZZ6 CANDR DANNR RAV J64 BURNI TYROO QUARM AIR HVQ Q147 BURGG QUIWE Q93 GIPPL Q85 LPERD SNFLD3 KMCO,ZNY,ZJX,ZBW ZID ZJX ZMA ZNY ZOB ZTL,Y,,2
JFKMCOWH,KJFK,KMCO,WHITE,KJFK WHITE Q409 CRPLR Q85 LPERD SNFLD3 KMCO,ZNY,ZJX,ZDC ZJX ZMA ZNY,N,,1
JFKMCOWR,KJFK,KMCO,WHITE,KJFK WHITE Q409 CRPLR EARZZ Q131 WAALT Y289 BAHAA HIBAC ALYNA4 KMCO,ZNY,ZJX,ZDC ZJX ZMA ZNY,N,,1
JFKMDW36,KJFK,KMDW,COATE,KJFK COATE Q436 HERBA JHW DJB ASHEN PANGG7 KMDW,ZNY,ZAU,ZAU ZNY ZOB,Y,,1
JFKMDW64,KJFK,KMDW,CANDR,KJFK DEEZZ6 CANDR J60 DANNR RAV J64 FWA PANGG7 KMDW,ZNY,ZAU,ZAU ZBW ZNY ZOB,Y,,2
JFKMDW80,KJFK,KMDW,RBV,KJFK RBV Q430 AIR J80 EMPTY J149 FWA PANGG7 KMDW,ZNY,ZAU,ZAU ZID ZNY ZOB,Y,,1
JFKMDW8X,KJFK,KMDW,RBV,KJFK RBV Q430 BEETS HACKS J149 FWA PANGG7 KMDW,ZNY,ZAU,ZAU ZID ZNY ZOB,Y,,1
JFKMDW8Y,KJFK,KMDW,RBV,KJFK RBV Q430 BEETS BENSH STEVY Q176 HNN FLM VHP DROSE FISSK7 KMDW,ZNY,ZAU,ZAU ZDC ZID ZNY,Y,,1
JFKMDW95,KJFK,KMDW,GAYEL,KJFK GAYEL Q818 WOZEE Q935 HOCKE LYSTR SUDDS OBK KMDW,ZNY,ZAU,CZY ZAU ZNY ZOB,Y,,1
JFKMDWBV,KJFK,KMDW,RBV,KJFK RBV Q430 AIR J80 VHP DROSE FISSK7 KMDW,ZNY,ZAU,ZAU ZID ZNY ZOB,N,,1
JFKMDWCA,KJFK,KMDW,GREKI,KJFK GREKI JUDDS CAM Q84 JHW DJB ASHEN PANGG7 KMDW,ZNY,ZAU,ZAU ZBW ZNY ZOB,Y,,1
JFKMDWPH,KJFK,KMDW,CANDR,KJFK DEEZZ6 CANDR J60 DJB ASHEN PANGG7 KMDW,ZNY,ZAU,ZAU ZBW ZNY ZOB,N,,1
JFKMEM36,KJFK,KMEM,COATE,KJFK COATE Q436 HERBA JHW Q29 KLYNE PXV BLUZZ5 KMEM,ZNY,ZME,ZID ZME ZNY ZOB,Y,,1
JFKMEM48,KJFK,KMEM,RBV,KJFK RBV Q430 BYRDD J48 CSN FANPO Q40 JAARE GQO TALLO VANZE3 KMEM,ZNY,ZME,ZDC ZME ZNY ZTL,N,,1
JFKMEM60,KJFK,KMEM,CANDR,KJFK DEEZZ6 CANDR J60 DJB PXV BLUZZ5 KMEM,ZNY,ZME,ZBW ZID ZME ZNY ZOB,Y,,1
JFKMEM64,KJFK,KMEM,CANDR,KJFK DEEZZ6 CANDR J60 DANNR RAV J64 MAINE PXV BLUZZ5 KMEM,ZNY,ZME,ZBW ZID ZME ZNY ZOB,Y,,1
JFKMEM75,KJFK,KMEM,RBV,KJFK RBV Q430 COPES Q75 GVE LYH COLZI Q52 CHOPZ THRSR VLKNN WASER VANZE3 KMEM,ZNY,ZME,ZDC ZME ZNY ZTL,Y,,1
JFKMEM80,KJFK,KMEM,RBV,KJFK RBV Q430 AIR J110 FYLLS PXV BLUZZ5 KMEM,ZNY,ZME,ZID ZME ZNY ZOB,N,,1
JFKMEM95,KJFK,KMEM,GAYEL,KJFK GAYEL Q818 KELIE JHW Q29 KLYNE PXV BLUZZ5 KMEM,ZNY,ZME,ZID ZME ZNY ZOB,Y,,1
JFKMEMCA,KJFK,KMEM,GREKI,KJFK GREKI JUDDS CAM Q84 JHW Q29 KLYNE PXV BLUZZ5 KMEM,ZNY,ZME,ZBW ZID ZME ZNY ZOB,Y,,1
JFKMEMD1,KJFK,KMEM,WAVEY,KJFK WAVEY EMJAY Q167 ZJAAY Q97 SAWED GUILD Q409 MRPIT CEELY Q172 YUTEE IRQ THRSR VLKNN WASER VANZE3 KMEM,ZNY,ZME,ZBW ZDC ZJX ZME ZNY ZTL,Y,DELMARVA 1,1
JFKMEMPH,KJFK,KMEM,RBV,KJFK RBV Q430 SAAME J6 HVQ Q68 RAMRD BLUZZ5 KMEM,ZNY,ZME,ZDC ZID ZME ZNY,N,,1
JFKMHTDN,KJFK,KMHT,HAAYS,KJFK HAAYS V273 HNK PONCT ROZZE2 KMHT,ZNY,ZBW,ZBW ZNY,Y,,1
JFKMHTPH,KJFK,KMHT,GREKI,KJFK GREKI JUDDS MARTN QUINZ ROZZE2 KMHT,ZNY,ZBW,ZBW ZNY,N,,1
JFKMHTPL,KJFK,KMHT,MERIT,KJFK MERIT HFD T315 GDM MANCH KMHT,ZNY,ZBW,ZBW ZNY,N,,1
JFKMIA48,KJFK,KMIA,RBV,KJFK RBV Q430 BYRDD J48 MOL FLASK GOWBE THRSR HONID FROGZ5 KMIA,ZNY,ZMA,ZDC ZJX ZMA ZNY ZTL,Y,,2
JFKMIA4A,KJFK,KMIA,RBV,KJFK RBV Q430 BYRDD J48 CSN FANPO Q40 ALEAN VXV THRSR HONID FROGZ5 KMIA,ZNY,ZMA,ZDC ZJX ZMA ZNY ZTL,N,,1
JFKMIA4C,KJFK,KMIA,RBV,KJFK RBV Q430 BYRDD J48 MOL FLASK GOWBE BURGG QUIWE Q93 DEBRL CSTAL3 KMIA,ZNY,ZMA,ZDC ZJX ZMA ZNY ZTL,Y,NE TO FLORIDA VIA J48 1,2
JFKMIA60,KJFK,KMIA,CANDR,KJFK DEEZZ6 CANDR J60 DJB Q147 BURGG ALLMA BULZI Q81 ENDEW BROMO FROGZ5 KMIA,ZNY,ZMA,ZBW ZID ZJX ZMA ZNY ZOB ZTL,Y,,1
JFKMIA64,KJFK,KMIA,CANDR,KJFK DEEZZ6 CANDR J60 DANNR RAV J64 BURNI TYROO QUARM AIR HVQ SPAYD VXV THRSR HONID FROGZ5 KMIA,ZNY,ZMA,ZBW ZID ZJX ZMA ZNY ZOB ZTL,Y,,2
JFKMIA6A,KJFK,KMIA,RBV,KJFK RBV Q430 SAAME J6 HVQ SPAYD VXV THRSR HONID FROGZ5 KMIA,ZNY,ZMA,ZDC ZID ZJX ZMA ZNY ZTL,N,,1
JFKMIA72,KJFK,KMIA,RBV,KJFK RBV Q430 COPES Q75 TEEEM BULZI Q81 ENDEW BROMO FROGZ5 KMIA,ZNY,ZMA,ZDC ZJX ZMA ZNY ZTL,Y,NE TO FLORIDA VIA Q75 2,3
JFKMIA80,KJFK,KMIA,RBV,KJFK RBV Q430 AIR HVQ Q147 BURGG ALLMA BULZI Q81 ENDEW BROMO FROGZ5 KMIA,ZNY,ZMA,ZID ZJX ZMA ZNY ZOB ZTL,Y,,1
JFKMIA83,KJFK,KMIA,RBV,KJFK RBV Q430 AIR HVQ Q147 BURGG QUIWE Q93 DEBRL CSTAL3 KMIA,ZNY,ZMA,ZID ZJX ZMA ZNY ZOB ZTL,Y,,2
JFKMIA85,KJFK,KMIA,CANDR,KJFK DEEZZ6 CANDR DANNR RAV J64 BURNI TYROO QUARM AIR HVQ Q147 BURGG ALLMA BULZI Q81 ENDEW BROMO FROGZ5 KMIA,ZNY,ZMA,ZBW ZID ZJX ZMA ZNY ZOB ZTL,Y,,2
JFKMIA8T,KJFK,KMIA,RBV,KJFK RBV Q430 AIR HVQ SPAYD VXV THRSR HONID FROGZ5 KMIA,ZNY,ZMA,ZID ZJX ZMA ZNY ZOB ZTL,Y,,1
JFKMIAAR,KJFK,KMIA,WAVEY,KJFK WAVEY EMJAY Q167 KALDA Q101 SKARP Y313 HOAGG BNFSH3 KMIA,ZNY,ZMA,ZBW ZDC ZJX ZMA ZNY,N,,2
JFKMIAAZ,KJFK,KMIA,SHIPP,KJFK SHIPP Y488 STERN Y493 JENKS HOAGG BNFSH3 KMIA,ZNY,ZMA,ZBW ZDC ZJX ZMA ZNY ZWY,N,,2
JFKMIAJ1,KJFK,KMIA,WAVEY,KJFK WAVEY EMJAY Q167 ZJAAY Q97 SAWED GUILD Q409 ISUZO BULZI Q81 ENDEW BROMO FROGZ5 KMIA,ZNY,ZMA,ZBW ZDC ZJX ZMA ZNY,Y,,1
JFKMIAJ6,KJFK,KMIA,RBV,KJFK RBV Q430 SAAME J6 HVQ Q147 BURGG BULZI Q81 ENDEW BROMO FROGZ5 KMIA,ZNY,ZMA,ZDC ZID ZJX ZMA ZNY ZTL,N,,1
JFKMIAKA,KJFK,KMIA,WAVEY,KJFK WAVEY EMJAY Q167 ZJAAY Q97 DEBRL CSTAL3 KMIA,ZNY,ZMA,ZBW ZDC ZJX ZMA ZNY,N,,2
JFKMIASA,KJFK,KMIA,RBV,KJFK RBV Q430 COPES Q75 GSO Q83 JEVED Q97 DEBRL CSTAL3 KMIA,ZNY,ZMA,ZDC ZJX ZMA ZNY ZTL,Y,,2
JFKMIASP,KJFK,KMIA,CANDR,KJFK DEEZZ6 CANDR DANNR RAV J64 BURNI TYROO QUARM AIR HVQ Q147 BURGG QUIWE Q93 DEBRL CSTAL3 KMIA,ZNY,ZMA,ZBW ZID ZJX ZMA ZNY ZOB ZTL,Y,,2
JFKMIATA,KJFK,KMIA,RBV,KJFK RBV Q430 COPES Q75 TEEEM BULZI Q81 ENDEW BROMO FROGZ5 KMIA,ZNY,ZMA,ZDC ZJX ZMA ZNY ZTL,N,,1
JFKMIATR,KJFK,KMIA,WAVEY,KJFK WAVEY EMJAY Q167 ZJAAY Q97 DEBRL CSTAL3 KMIA,ZNY,ZMA,ZBW ZDC ZJX ZMA ZNY,N,,2
JFKMIAWH,KJFK,KMIA,WHITE,KJFK WHITE Q409 CRPLR PAACK Q97 DEBRL CSTAL3 KMIA,ZNY,ZMA,ZDC ZJX ZMA ZNY,Y,,2
JFKMIAWR,KJFK,KMIA,WHITE,KJFK WHITE Q409 CRPLR BGBRD Q101 SKARP Y313 HOAGG BNFSH3 KMIA,ZNY,ZMA,ZDC ZJX ZMA ZNY,Y,,1
JFKMIAZC,KJFK,KMIA,WAVEY,KJFK WAVEY EMJAY Q167 ZJAAY Q97 DEBRL CSTAL3 KMIA,ZNY,ZMA,ZBW ZDC ZJX ZMA ZNY,N,,2
JFKMIAZW,KJFK,KMIA,WAVEY,KJFK WAVEY EMJAY Q167 KALDA Q101 SKARP Y313 HOAGG BNFSH3 KMIA,ZNY,ZMA,ZBW ZDC ZJX ZMA ZNY,N,,2
JFKMKE36,KJFK,KMKE,COATE,KJFK COATE Q436 RAAKK Q438 RUBYY GETCH LYSTR SUDDS KMKE,ZNY,ZAU,ZAU ZNY ZOB,N,,2
JFKMKE64,KJFK,KMKE,CANDR,KJFK DEEZZ6 CANDR J60 DANNR RAV J64 EWC DJB CRL PEGEE GETCH LYSTR SUDDS KMKE,ZNY,ZAU,ZAU ZBW ZNY ZOB,Y,,1
JFKMKE80,KJFK,KMKE,RBV,KJFK RBV Q430 AIR DJB CRL PEGEE GETCH LYSTR SUDDS KMKE,ZNY,ZAU,ZAU ZNY ZOB,Y,,1
JFKMKE95,KJFK,KMKE,GAYEL,KJFK GAYEL Q818 FNT GETCH LYSTR SUDDS KMKE,ZNY,ZAU,CZY ZAU ZNY ZOB,N,,1
JFKMKECA,KJFK,KMKE,GREKI,KJFK GREKI JUDDS CAM HANAA Q816 HOCKE GETCH LYSTR SUDDS KMKE,ZNY,ZAU,CZY ZAU ZBW ZNY ZOB,Y,,1
JFKMKEPH,KJFK,KMKE,CANDR,KJFK DEEZZ6 CANDR J60 DJB CRL PEGEE GETCH LYSTR SUDDS KMKE,ZNY,ZAU,ZAU ZBW ZNY ZOB,N,,1
JFKMKY97,KJFK,KMKY,WAVEY,KJFK WAVEY EMJAY Q167 ZJAAY Q97 ELMSZ JROSS Q409 PUPYY Q103 CYNTA SHFTY6 KMKY,ZNY,ZMA,ZBW ZDC ZJX ZMA ZNY,Y,NE TO FLORIDA VIA Q97 2,2
JFKMSP1K,KJFK,KMSP,GAYEL,KJFK GAYEL Q818 WOZEE KENPA CEWDA MUSCL4 KMSP,ZNY,ZMP,CZY ZMP ZNY ZOB,Y,,2
JFKMSP1N,KJFK,KMSP,GAYEL,KJFK GAYEL Q818 WOZEE NOSIK ZOHAN CEWDA MUSCL4 KMSP,ZNY,ZMP,CZY ZMP ZNY ZOB,Y,,2
JFKMSP2K,KJFK,KMSP,GREKI,KJFK GREKI JUDDS CAM NOVON KENPA CEWDA MUSCL4 KMSP,ZNY,ZMP,CZY ZBW ZMP ZNY,Y,,2
JFKMSP2N,KJFK,KMSP,GREKI,KJFK GREKI JUDDS CAM NOVON SIKBO NOSIK ZOHAN CEWDA MUSCL4 KMSP,ZNY,ZMP,CZY ZBW ZMP ZNY,Y,,2
JFKMSP36,KJFK,KMSP,COATE,KJFK COATE Q436 RAAKK Q440 SLLAP IDIOM MUSCL4 KMSP,ZNY,ZMP,ZAU ZMP ZNY ZOB,N,,1
JFKMSP3K,KJFK,KMSP,GREKI,KJFK GREKI JUDDS CAM NOVON SIKBO KENPA CEWDA MUSCL4 KMSP,ZNY,ZMP,CZY ZBW ZMP ZNY,Y,,2
JFKMSP4K,KJFK,KMSP,GREKI,KJFK GREKI JUDDS CAM NOVON KENLU NOSIK ZOHAN CEWDA MUSCL4 KMSP,ZNY,ZMP,CZY ZBW ZMP ZNY,Y,,2
JFKMSP4N,KJFK,KMSP,GREKI,KJFK GREKI JUDDS CAM BUGSY LETAK NOSIK ZOHAN CEWDA MUSCL4 KMSP,ZNY,ZMP,CZU CZY ZBW ZMP ZNY,Y,,2
JFKMSP60,KJFK,KMSP,CANDR,KJFK DEEZZ6 CANDR J60 DJB J34 VIO KAMMA KKILR4 KMSP,ZNY,ZMP,ZAU ZBW ZMP ZNY ZOB,N,,1
JFKMSP64,KJFK,KMSP,CANDR,KJFK DEEZZ6 CANDR J60 DANNR RAV J64 EWC DJB J34 VIO KAMMA KKILR4 KMSP,ZNY,ZMP,ZAU ZBW ZMP ZNY ZOB,N,,1
JFKMSP80,KJFK,KMSP,RBV,KJFK RBV Q430 LEJOY Q178 DJB J34 VIO KAMMA KKILR4 KMSP,ZNY,ZMP,ZAU ZMP ZNY ZOB,Y,,1
JFKMSPAA,KJFK,KMSP,GAYEL,KJFK GAYEL Q818 WOZEE KENPA SAW SHEAY MUSCL4 KMSP,ZNY,ZMP,CZY ZMP ZNY ZOB,Y,,2
JFKMSPAR,KJFK,KMSP,GREKI,KJFK GREKI JUDDS CAM NOVON YEE TVC CEWDA MUSCL4 KMSP,ZNY,ZMP,CZY ZBW ZMP ZNY,Y,,1
JFKMSPCA,KJFK,KMSP,GREKI,KJFK GREKI JUDDS CAM HANAA Q816 HOCKE IDIOM MUSCL4 KMSP,ZNY,ZMP,CZY ZBW ZMP ZNY ZOB,Y,,1
JFKMSPG3,KJFK,KMSP,GREKI,KJFK GREKI JUDDS CAM Q822 GONZZ FARGN Q438 BERYS Q440 IDIOM MUSCL4 KMSP,ZNY,ZMP,ZAU ZBW ZMP ZNY ZOB,Y,GREKI 3,1
JFKMSPG5,KJFK,KMSP,GAYEL,KJFK GAYEL Q812 AHPAH Q140 CESNA GGULL BAINY4 KMSP,ZNY,ZMP,CZY ZBW ZMP ZNY ZOB,Y,,1
JFKMSPG6,KJFK,KMSP,CANDR,KJFK DEEZZ6 CANDR J60 DJB HOCKE SAW DLH GGULL BAINY4 KMSP,ZNY,ZMP,ZBW ZMP ZNY ZOB,Y,,1
JFKMSPG7,KJFK,KMSP,GREKI,KJFK GREKI JUDDS CAM NOVON SSM COLDD BAINY4 KMSP,ZNY,ZMP,CZY ZBW ZMP ZNY,Y,,1
JFKMSPG8,KJFK,KMSP,COATE,KJFK COATE Q436 RAAKK Q440 SLLAP GRB HHOGS BAINY4 KMSP,ZNY,ZMP,ZAU ZMP ZNY ZOB,Y,,1
JFKMSPGC,KJFK,KMSP,GAYEL,KJFK GAYEL Q818 WOZEE NOSIK ZOHAN GRB COLDD BAINY4 KMSP,ZNY,ZMP,CZY ZMP ZNY ZOB,Y,,2
JFKMSPK1,KJFK,KMSP,GAYEL,KJFK GAYEL Q818 WOZEE KENPA SAW DLH GGULL BAINY4 KMSP,ZNY,ZMP,CZY ZMP ZNY ZOB,Y,,2
JFKMSPKA,KJFK,KMSP,GAYEL,KJFK GAYEL Q818 WOZEE NOSIK SAW SHEAY MUSCL4 KMSP,ZNY,ZMP,CZY ZMP ZNY ZOB,Y,,2
